	cluster	doc
0	3	10001.txt
1	2	10002.txt
2	2	10003.txt
3	2	10004.txt
4	2	10005.txt
5	2	10006.txt
6	2	10007.txt
7	2	10008.txt
8	2	10009.txt
9	2	10010.txt
10	1	10011.txt
11	2	10012.txt
12	2	10013.txt
13	2	10014.txt
14	2	10015.txt
15	2	10016.txt
16	2	10017.txt
17	2	10018.txt
18	2	10019.txt
19	2	10020.txt
20	2	10021.txt
21	2	10022.txt
22	2	10023.txt
23	2	10024.txt
24	2	10025.txt
25	2	10026.txt
26	2	10027.txt
27	2	10028.txt
28	2	10029.txt
29	2	10030.txt
30	2	10031.txt
31	2	10032.txt
32	2	10033.txt
33	2	10034.txt
34	2	10035.txt
35	2	10036.txt
36	2	10037.txt
37	2	10038.txt
38	2	10039.txt
39	1	10040.txt
40	2	10041.txt
41	2	10042.txt
42	2	10043.txt
43	2	10044.txt
44	2	10045.txt
45	2	10046.txt
46	2	10047.txt
47	2	10048.txt
48	2	10049.txt
49	2	10050.txt
50	2	10051.txt
51	2	10052.txt
52	2	10056.txt
53	2	10057.txt
54	2	10058.txt
55	2	10059.txt
56	2	10060.txt
57	2	10062.txt
58	2	10063.txt
59	2	10064.txt
60	2	1jcfs10.txt
61	2	2babb10.txt
62	2	3babb10.txt
63	2	50bab10.txt
64	2	ajtl10.txt
65	2	allyr10.txt
66	2	alpsn10.txt
67	2	balen10.txt
68	2	baleng2.txt
69	2	batlf10.txt
70	2	bgopr10.txt
71	2	brnte10.txt
72	2	bstjg10.txt
73	2	cambp10.txt
74	2	canbe10.txt
75	2	cantp10.txt
76	2	cfrz10.txt
77	2	crsnk10.txt
78	2	esbio10.txt
79	2	grybr10.txt
80	2	mklmt10.txt
81	2	morem10.txt
82	2	mspcd10.txt
83	2	penbr10.txt
84	2	pgjr10.txt
85	2	pntvw10.txt
86	2	prcpg10.txt
87	2	prhg10.txt
88	2	prhsb10.txt
89	2	rlsl110.txt
90	2	rlsl210.txt
91	2	rmlav10.txt
92	2	sesli10.txt
93	2	svyrd10.txt
94	2	tecom10.txt
95	2	utrkj10.txt
96	4	vpasm10.txt
97	2	wldsp10.txt
98	2	wtrbs10.txt
99	2	zncli10.txt
