	cluster	word
0	2	accept
1	2	accessed
2	2	accordance
3	3	acknowledge
4	2	act
5	2	addition
6	2	address
7	3	admirably
8	2	affecting
9	2	allowed
10	2	altered
11	2	amazement
12	2	answers
13	2	appear
14	3	arranged
15	3	arrival
16	2	asked
17	3	assistant
18	2	assured
19	2	attempt
20	2	attendant
21	2	bearing
22	2	begins
23	2	believe
24	2	breathed
25	2	care
26	2	carrying
27	2	change
28	2	charges
29	2	checks
30	2	cheerful
31	2	clearly
32	3	closely
33	2	comely
34	2	comforted
35	2	command
36	3	communicative
37	3	compared
38	2	complete
39	3	confidence
40	3	confirmed
41	3	considerably
42	2	contains
43	2	contents
44	3	continue
45	3	converse
46	2	copying
47	2	cry
48	2	damaged
49	2	defect
50	3	delighted
51	2	dependent
52	2	derive
53	2	desire
54	2	determined
55	2	dying
56	2	differently
57	2	directly
58	2	disclaim
59	2	discover
60	2	displayed
61	2	distribute
62	2	donate
63	2	doubts
64	3	dreadful
65	2	drop
66	3	employ
67	3	encourage
68	2	ends
69	2	engagement
70	2	enjoyed
71	2	entering
72	3	examining
73	3	expectancy
74	2	expression
75	2	eyes
76	2	face
77	2	faintly
78	2	falling
79	2	fears
80	2	feeling
81	2	fit
82	2	following
83	2	forming
84	2	fortunes
85	2	friend
86	2	handing
87	2	hated
88	2	heads
89	2	helps
90	2	hoping
91	3	hurried
92	3	imagine
93	3	impressions
94	3	improved
95	2	including
96	2	indicate
97	3	informed
98	2	kindly
99	2	knows
100	2	laughing
101	2	learn
102	2	lie
103	2	lights
104	2	liked
105	3	listen
106	2	lives
107	2	looking
108	2	love
109	2	makes
110	3	manage
111	2	marked
112	2	mean
113	2	measures
114	2	minded
115	1	murdering
116	2	natured
117	2	needed
118	2	object
119	3	obligations
120	2	observe
121	2	offer
122	2	office
123	2	open
124	2	ordering
125	3	originality
126	2	painful
127	2	particulars
128	2	pass
129	2	passion
130	2	perform
131	2	person
132	2	placed
133	2	played
134	2	please
135	2	points
136	3	possession
137	2	possible
138	2	posted
139	2	power
140	2	practically
141	2	prepare
142	2	presented
143	3	preserve
144	2	promises
145	2	protested
146	2	provide
147	2	questioning
148	2	reaches
149	2	reasoned
150	2	receive
151	3	reflect
152	3	relations
153	2	remained
154	3	remarks
155	3	removing
156	2	reporter
157	3	required
158	3	respectable
159	2	returned
160	2	right
161	2	runs
162	2	saving
163	2	saying
164	2	secrets
165	2	secure
166	3	separated
167	2	severe
168	2	shared
169	2	slightly
170	2	smile
171	2	sounded
172	2	states
173	2	stay
174	3	steps
175	3	struggle
176	2	studied
177	3	succession
178	2	suffering
179	3	suggestiveness
180	2	talked
181	2	thanking
182	2	thinks
183	2	thoughtfully
184	3	travel
185	2	trying
186	2	turned
187	2	using
188	1	uttering
189	2	viewing
190	2	visits
191	2	walking
192	2	want
193	2	warn
194	3	watched
195	2	wish
196	2	wits
197	2	wondering
198	2	worked
199	2	writings
