	cluster	word
0	3	absolut
1	3	accompani
2	3	acknowledg
3	3	adventur
4	3	advis
5	3	afford
6	3	aid
7	3	alarm
8	3	amus
9	3	appar
10	3	appeal
11	3	appoint
12	5	appreci
13	3	approv
14	3	articl
15	5	artist
16	3	assum
17	3	astonish
18	3	attack
19	3	avoid
20	3	bar
21	3	bare
22	3	bird
23	3	bitter
24	3	brave
25	3	catch
26	3	clean
27	3	climb
28	3	cloud
29	3	combin
30	5	commenc
31	3	communic
32	1	compli
33	3	conceal
34	3	conclud
35	3	confus
36	3	conscious
37	3	consist
38	3	constitut
39	3	consult
40	3	convey
41	2	cook
42	2	crown
43	3	danc
44	3	dash
45	3	deni
46	3	depart
47	3	descend
48	3	desert
49	3	deserv
50	5	develop
51	1	digit
52	1	directori
53	3	disappear
54	3	disappoint
55	3	discuss
56	3	distinguish
57	3	disturb
58	3	divid
59	3	dollar
60	3	dwell
61	3	eager
62	3	earnest
63	1	ebook
64	3	employ
65	3	empti
66	3	endur
67	3	entertain
68	3	establish
69	3	exceed
70	3	excus
71	3	exhibit
72	3	extend
73	3	faint
74	4	favour
75	2	fish
76	3	flash
77	3	flow
78	3	fool
79	1	format
80	3	frequent
81	3	furnish
82	3	gain
83	3	garden
84	3	gaze
85	3	gift
86	3	glanc
87	3	guard
88	3	guid
89	3	hate
90	3	hesit
91	3	honor
92	4	honour
93	3	hunt
94	3	ignor
95	5	illustr
96	5	improv
97	3	indulg
98	3	inhabit
99	3	innoc
100	3	inquir
101	3	inspir
102	3	instruct
103	3	intellig
104	3	interrupt
105	3	invent
106	3	invit
107	3	jump
108	3	kill
109	3	kiss
110	3	knock
111	4	labour
112	3	lean
113	3	leap
114	3	lift
115	1	locat
116	3	lock
117	3	lord
118	3	mad
119	5	manifest
120	3	march
121	3	marri
122	3	materi
123	3	mile
124	3	mount
125	3	mountain
126	2	murder
127	3	murmur
128	3	nation
129	3	nurs
130	5	oper
131	1	paragraph
132	3	peculiar
133	3	perceiv
134	2	pipe
135	3	piti
136	3	plant
137	3	polit
138	2	pound
139	3	pray
140	2	prison
141	3	profess
142	1	promot
143	3	prompt
144	3	propos
145	3	protest
146	5	publish
147	2	punish
148	3	push
149	3	rang
150	3	rapid
151	3	recollect
152	3	record
153	3	regret
154	3	remind
155	5	render
156	5	resembl
157	5	resid
158	3	respons
159	3	ride
160	3	roar
161	3	ruin
162	2	sail
163	1	section
164	3	sentiment
165	3	shade
166	3	shadow
167	3	ship
168	3	shout
169	3	sigh
170	2	sin
171	3	sing
172	3	slip
173	3	smoke
174	3	solemn
175	3	song
176	3	star
177	3	stare
178	3	stir
179	3	strain
180	3	stream
181	3	stretch
182	3	struggl
183	3	swift
184	3	teach
185	3	tie
186	3	trace
187	3	trembl
188	3	ventur
189	3	wake
190	3	warn
191	3	wash
192	3	wast
193	3	wave
194	3	weari
195	3	wheel
196	3	whisper
197	3	wing
198	3	wound
199	3	yield
